node,Line,Column,semanic,controlnum,feature,complexity
operate.1,1,11,func_dec,0,dec,1
n.1,1,23,func_dec,0,dec,1
switch.1,2,3,func_dec->compound->switch,1,control,1
n.2,2,11,func_dec->compound->switch,1,control,1
case.1,3,5,func_dec->compound->switch->compound->case,1,control,0
0.1,3,10,func_dec->compound->switch->compound->case,1,control,0
return.1,4,7,func_dec->compound->switch->compound->case->return,1,return,0
0.2,4,14,func_dec->compound->switch->compound->case->return,1,return,0
case.2,5,5,func_dec->compound->switch->compound->case,1,control,0
1.1,5,10,func_dec->compound->switch->compound->case,1,control,0
return.2,6,7,func_dec->compound->switch->compound->case->return,1,return,0
1.2,6,14,func_dec->compound->switch->compound->case->return,1,return,0
mystery1.1,8,17,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0
0.3,8,26,func_dec->compound->switch->compound->default->dec->var_dec,1,dec,0
mystery2.1,9,17,func_dec->compound->switch->compound->dec->var_dec,1,dec,0
1.3,9,26,func_dec->compound->switch->compound->dec->var_dec,1,dec,0
i.1,10,16,func_dec->compound->switch->compound->for->bi_op,2,cal,2
2.1,10,18,func_dec->compound->switch->compound->for->bi_op,2,cal,2
<.1,10,21,func_dec->compound->switch->compound->for->bi_op,2,cal,2
i.2,10,21,func_dec->compound->switch->compound->for->bi_op,2,cal,2
n.3,10,23,func_dec->compound->switch->compound->for->bi_op,2,cal,2
++i.1,10,26,func_dec->compound->switch->compound->for->bi_op,2,cal,2
i.3,10,28,func_dec->compound->switch->compound->for->bi_op,2,cal,2
mystery3.1,11,19,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3
mystery1.2,11,28,func_dec->compound->switch->compound->for->compound->dec->var_dec,2,dec,3
=.1,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3
mystery2.2,13,9,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3
mystery3.2,13,18,func_dec->compound->switch->compound->for->compound->bi_op,2,cal,3
return.3,15,7,func_dec->compound->switch->compound->return,1,return,0
mystery2.3,15,14,func_dec->compound->switch->compound->return,1,return,0
